         z	         T	         p	         u	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
4.1606e-05	1.0732e+03	1.0000e+05	8.7557e-02	2.8814e-01	4.5288e-04	1.4274e-01	2.8472e-01	1.7107e-04	3.1685e-04	5.4113e-04	1.8590e-06	4.2184e-09	5.7106e-01	
4.2327e-05	1.0732e+03	1.0000e+05	8.7556e-02	2.8814e-01	4.4181e-04	1.4274e-01	2.8474e-01	1.6604e-04	3.1058e-04	5.3586e-04	1.8052e-06	4.0208e-09	5.7107e-01	
4.3047e-05	1.0732e+03	1.0000e+05	8.7554e-02	2.8814e-01	4.3126e-04	1.4274e-01	2.8476e-01	1.6125e-04	3.0455e-04	5.3074e-04	1.7539e-06	3.8364e-09	5.7107e-01	
4.4175e-05	1.0732e+03	1.0000e+05	8.7553e-02	2.8815e-01	4.1570e-04	1.4274e-01	2.8479e-01	1.5420e-04	2.9557e-04	5.2301e-04	1.6784e-06	3.5718e-09	5.7108e-01	
4.5303e-05	1.0732e+03	1.0000e+05	8.7551e-02	2.8816e-01	4.0123e-04	1.4274e-01	2.8481e-01	1.4765e-04	2.8711e-04	5.1562e-04	1.6082e-06	3.3332e-09	5.7110e-01	
4.6431e-05	1.0732e+03	1.0000e+05	8.7550e-02	2.8816e-01	3.8772e-04	1.4274e-01	2.8484e-01	1.4156e-04	2.7913e-04	5.0854e-04	1.5429e-06	3.1175e-09	5.7110e-01	
4.7559e-05	1.0732e+03	1.0000e+05	8.7548e-02	2.8817e-01	3.7508e-04	1.4274e-01	2.8486e-01	1.3589e-04	2.7158e-04	5.0175e-04	1.4818e-06	2.9219e-09	5.7111e-01	
4.8687e-05	1.0732e+03	1.0000e+05	8.7547e-02	2.8817e-01	3.6324e-04	1.4274e-01	2.8488e-01	1.3058e-04	2.6443e-04	4.9524e-04	1.4248e-06	2.7441e-09	5.7112e-01	
4.9815e-05	1.0732e+03	1.0000e+05	8.7546e-02	2.8817e-01	3.5213e-04	1.4274e-01	2.8491e-01	1.2562e-04	2.5766e-04	4.8897e-04	1.3713e-06	2.5819e-09	5.7113e-01	
5.0943e-05	1.0732e+03	1.0000e+05	8.7544e-02	2.8818e-01	3.4167e-04	1.4274e-01	2.8492e-01	1.2097e-04	2.5123e-04	4.8295e-04	1.3212e-06	2.4338e-09	5.7114e-01	
5.2904e-05	1.0732e+03	1.0000e+05	8.7543e-02	2.8818e-01	3.2489e-04	1.4274e-01	2.8496e-01	1.1354e-04	2.4080e-04	4.7300e-04	1.2410e-06	2.2050e-09	5.7115e-01	
5.4866e-05	1.0732e+03	1.0000e+05	8.7541e-02	2.8819e-01	3.0970e-04	1.4274e-01	2.8499e-01	1.0686e-04	2.3121e-04	4.6366e-04	1.1688e-06	2.0077e-09	5.7116e-01	
5.6828e-05	1.0732e+03	1.0000e+05	8.7539e-02	2.8819e-01	2.9585e-04	1.4274e-01	2.8501e-01	1.0081e-04	2.2237e-04	4.5486e-04	1.1034e-06	1.8354e-09	5.7117e-01	
5.8790e-05	1.0732e+03	1.0000e+05	8.7538e-02	2.8820e-01	2.8321e-04	1.4274e-01	2.8504e-01	9.5333e-05	2.1419e-04	4.4657e-04	1.0440e-06	1.6853e-09	5.7118e-01	
6.0752e-05	1.0732e+03	1.0000e+05	8.7536e-02	2.8820e-01	2.7160e-04	1.4274e-01	2.8506e-01	9.0332e-05	2.0661e-04	4.3873e-04	9.8987e-07	1.5530e-09	5.7119e-01	
6.2714e-05	1.0732e+03	1.0000e+05	8.7535e-02	2.8821e-01	2.6091e-04	1.4274e-01	2.8508e-01	8.5765e-05	1.9956e-04	4.3131e-04	9.4027e-07	1.4362e-09	5.7120e-01	
6.4676e-05	1.0732e+03	1.0000e+05	8.7534e-02	2.8821e-01	2.5105e-04	1.4274e-01	2.8510e-01	8.1584e-05	1.9298e-04	4.2425e-04	8.9489e-07	1.3329e-09	5.7121e-01	
6.6637e-05	1.0732e+03	1.0000e+05	8.7533e-02	2.8822e-01	2.4191e-04	1.4275e-01	2.8512e-01	7.7740e-05	1.8684e-04	4.1754e-04	8.5309e-07	1.2403e-09	5.7121e-01	
6.8599e-05	1.0732e+03	1.0000e+05	8.7532e-02	2.8822e-01	2.3342e-04	1.4275e-01	2.8513e-01	7.4183e-05	1.8109e-04	4.1118e-04	8.1439e-07	1.1576e-09	5.7122e-01	
7.0561e-05	1.0732e+03	1.0000e+05	8.7531e-02	2.8822e-01	2.2551e-04	1.4275e-01	2.8515e-01	7.0897e-05	1.7569e-04	4.0511e-04	7.7863e-07	1.0838e-09	5.7123e-01	
7.2523e-05	1.0732e+03	1.0000e+05	8.7530e-02	2.8822e-01	2.1812e-04	1.4275e-01	2.8516e-01	6.7871e-05	1.7061e-04	3.9928e-04	7.4567e-07	1.0168e-09	5.7123e-01	
7.3825e-05	1.0732e+03	1.0000e+05	8.7530e-02	2.8823e-01	2.1349e-04	1.4275e-01	2.8517e-01	6.5971e-05	1.6741e-04	3.9556e-04	7.2496e-07	9.7564e-10	5.7124e-01	
7.4727e-05	1.0732e+03	1.0000e+05	8.7529e-02	2.8823e-01	2.1039e-04	1.4275e-01	2.8518e-01	6.4707e-05	1.6526e-04	3.9306e-04	7.1118e-07	9.4892e-10	5.7124e-01	
7.5628e-05	1.0732e+03	1.0000e+05	8.7529e-02	2.8823e-01	2.0739e-04	1.4275e-01	2.8519e-01	6.3492e-05	1.6316e-04	3.9059e-04	6.9794e-07	9.2331e-10	5.7124e-01	
7.6529e-05	1.0732e+03	1.0000e+05	8.7529e-02	2.8823e-01	2.0447e-04	1.4275e-01	2.8519e-01	6.2309e-05	1.6113e-04	3.8818e-04	6.8503e-07	8.9869e-10	5.7124e-01	
7.7431e-05	1.0732e+03	1.0000e+05	8.7528e-02	2.8823e-01	2.0164e-04	1.4275e-01	2.8520e-01	6.1162e-05	1.5914e-04	3.8582e-04	6.7251e-07	8.7526e-10	5.7124e-01	
7.8332e-05	1.0732e+03	1.0000e+05	8.7528e-02	2.8823e-01	1.9888e-04	1.4275e-01	2.8520e-01	6.0051e-05	1.5721e-04	3.8351e-04	6.6040e-07	8.5282e-10	5.7125e-01	
7.9234e-05	1.0732e+03	1.0000e+05	8.7528e-02	2.8823e-01	1.9620e-04	1.4275e-01	2.8521e-01	5.8984e-05	1.5532e-04	3.8122e-04	6.4874e-07	8.3116e-10	5.7125e-01	
7.9900e-05	1.0732e+03	1.0000e+05	8.7527e-02	2.8823e-01	1.9426e-04	1.4275e-01	2.8521e-01	5.8209e-05	1.5396e-04	3.7956e-04	6.4028e-07	8.1573e-10	5.7125e-01	
8.0565e-05	1.0732e+03	1.0000e+05	8.7527e-02	2.8823e-01	1.9237e-04	1.4275e-01	2.8522e-01	5.7451e-05	1.5262e-04	3.7793e-04	6.3200e-07	8.0085e-10	5.7125e-01	
8.1231e-05	1.0732e+03	1.0000e+05	8.7527e-02	2.8824e-01	1.9051e-04	1.4275e-01	2.8522e-01	5.6712e-05	1.5130e-04	3.7633e-04	6.2394e-07	7.8639e-10	5.7125e-01	
8.1897e-05	1.0732e+03	1.0000e+05	8.7527e-02	2.8824e-01	1.8869e-04	1.4275e-01	2.8522e-01	5.5996e-05	1.5001e-04	3.7472e-04	6.1611e-07	7.7222e-10	5.7125e-01	
8.2563e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8690e-04	1.4275e-01	2.8523e-01	5.5288e-05	1.4874e-04	3.7315e-04	6.0838e-07	7.5848e-10	5.7126e-01	
8.3229e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8515e-04	1.4275e-01	2.8523e-01	5.4585e-05	1.4749e-04	3.7163e-04	6.0069e-07	7.4535e-10	5.7126e-01	
8.3717e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8388e-04	1.4275e-01	2.8523e-01	5.4091e-05	1.4659e-04	3.7050e-04	5.9530e-07	7.3587e-10	5.7126e-01	
8.4206e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8264e-04	1.4275e-01	2.8524e-01	5.3603e-05	1.4570e-04	3.6938e-04	5.8996e-07	7.2655e-10	5.7126e-01	
8.4694e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8140e-04	1.4275e-01	2.8524e-01	5.3119e-05	1.4482e-04	3.6828e-04	5.8466e-07	7.1743e-10	5.7126e-01	
8.5183e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.8019e-04	1.4275e-01	2.8524e-01	5.2638e-05	1.4395e-04	3.6720e-04	5.7942e-07	7.0864e-10	5.7126e-01	
8.5671e-05	1.0732e+03	1.0000e+05	8.7526e-02	2.8824e-01	1.7900e-04	1.4275e-01	2.8524e-01	5.2171e-05	1.4309e-04	3.6612e-04	5.7431e-07	6.9994e-10	5.7126e-01	
8.6160e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7781e-04	1.4275e-01	2.8524e-01	5.1720e-05	1.4224e-04	3.6503e-04	5.6938e-07	6.9125e-10	5.7126e-01	
8.6648e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7665e-04	1.4275e-01	2.8525e-01	5.1263e-05	1.4141e-04	3.6397e-04	5.6438e-07	6.8287e-10	5.7126e-01	
8.7003e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7581e-04	1.4276e-01	2.8525e-01	5.0935e-05	1.4081e-04	3.6321e-04	5.6079e-07	6.7690e-10	5.7126e-01	
8.7359e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7498e-04	1.4276e-01	2.8525e-01	5.0614e-05	1.4021e-04	3.6245e-04	5.5730e-07	6.7098e-10	5.7127e-01	
8.7714e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7416e-04	1.4276e-01	2.8525e-01	5.0294e-05	1.3962e-04	3.6169e-04	5.5379e-07	6.6515e-10	5.7127e-01	
8.8069e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7335e-04	1.4276e-01	2.8525e-01	4.9977e-05	1.3903e-04	3.6094e-04	5.5031e-07	6.5943e-10	5.7127e-01	
8.8424e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7254e-04	1.4276e-01	2.8526e-01	4.9663e-05	1.3845e-04	3.6020e-04	5.4689e-07	6.5381e-10	5.7127e-01	
8.8779e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7174e-04	1.4276e-01	2.8526e-01	4.9357e-05	1.3787e-04	3.5946e-04	5.4353e-07	6.4821e-10	5.7127e-01	
8.9134e-05	1.0732e+03	1.0000e+05	8.7525e-02	2.8824e-01	1.7095e-04	1.4276e-01	2.8526e-01	4.9055e-05	1.3730e-04	3.5871e-04	5.4023e-07	6.4267e-10	5.7127e-01	
8.9489e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.7017e-04	1.4276e-01	2.8526e-01	4.8752e-05	1.3674e-04	3.5798e-04	5.3691e-07	6.3724e-10	5.7127e-01	
8.9844e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.6939e-04	1.4276e-01	2.8526e-01	4.8448e-05	1.3618e-04	3.5727e-04	5.3359e-07	6.3195e-10	5.7127e-01	
9.0199e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.6863e-04	1.4276e-01	2.8526e-01	4.8153e-05	1.3562e-04	3.5655e-04	5.3036e-07	6.2670e-10	5.7127e-01	
9.0555e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.6786e-04	1.4276e-01	2.8527e-01	4.7865e-05	1.3507e-04	3.5582e-04	5.2722e-07	6.2143e-10	5.7127e-01	
9.0910e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.6711e-04	1.4276e-01	2.8527e-01	4.7576e-05	1.3452e-04	3.5510e-04	5.2404e-07	6.1626e-10	5.7127e-01	
9.1265e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8824e-01	1.6636e-04	1.4276e-01	2.8527e-01	4.7284e-05	1.3398e-04	3.5441e-04	5.2084e-07	6.1129e-10	5.7127e-01	
9.1620e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8825e-01	1.6562e-04	1.4276e-01	2.8527e-01	4.6998e-05	1.3344e-04	3.5371e-04	5.1772e-07	6.0636e-10	5.7127e-01	
9.1975e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8825e-01	1.6489e-04	1.4276e-01	2.8527e-01	4.6723e-05	1.3290e-04	3.5300e-04	5.1472e-07	6.0136e-10	5.7127e-01	
9.2330e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8825e-01	1.6416e-04	1.4276e-01	2.8527e-01	4.6449e-05	1.3238e-04	3.5229e-04	5.1171e-07	5.9641e-10	5.7127e-01	
9.2685e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8825e-01	1.6344e-04	1.4276e-01	2.8527e-01	4.6168e-05	1.3185e-04	3.5161e-04	5.0863e-07	5.9169e-10	5.7127e-01	
9.3040e-05	1.0732e+03	1.0000e+05	8.7524e-02	2.8825e-01	1.6272e-04	1.4276e-01	2.8528e-01	4.5890e-05	1.3133e-04	3.5094e-04	5.0558e-07	5.8709e-10	5.7127e-01	
