         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
2.2263e-07	1.0732e+03	8.9706e-01	4.4014e-03	7.4849e-02	1.7346e-09	1.0782e-06	5.4594e-06	2.3661e-02	1.0110e-05	8.3216e-06	4.9182e-15	4.9555e-11	4.5181e-10	3.2243e-10	
2.3135e-07	1.0732e+03	8.9657e-01	4.4644e-03	7.4492e-02	1.7336e-09	1.1189e-06	5.5287e-06	2.4453e-02	1.0211e-05	8.3322e-06	5.1814e-15	4.9410e-11	4.5060e-10	3.2151e-10	
2.4007e-07	1.0732e+03	8.9605e-01	4.5255e-03	7.4167e-02	1.7325e-09	1.1595e-06	5.5980e-06	2.5236e-02	1.0312e-05	8.3409e-06	5.4473e-15	4.9276e-11	4.4949e-10	3.2066e-10	
2.4879e-07	1.0732e+03	8.9551e-01	4.5851e-03	7.3870e-02	1.7314e-09	1.1999e-06	5.6673e-06	2.6009e-02	1.0412e-05	8.3481e-06	5.7160e-15	4.9152e-11	4.4846e-10	3.1988e-10	
2.6421e-07	1.0732e+03	8.9454e-01	4.6870e-03	7.3396e-02	1.7293e-09	1.2710e-06	5.7894e-06	2.7353e-02	1.0586e-05	8.3582e-06	6.1979e-15	4.8951e-11	4.4681e-10	3.1860e-10	
2.7964e-07	1.0732e+03	8.9355e-01	4.7852e-03	7.2969e-02	1.7272e-09	1.3416e-06	5.9107e-06	2.8669e-02	1.0757e-05	8.3657e-06	6.6885e-15	4.8767e-11	4.4531e-10	3.1744e-10	
2.9506e-07	1.0732e+03	8.9255e-01	4.8802e-03	7.2581e-02	1.7252e-09	1.4118e-06	6.0312e-06	2.9958e-02	1.0925e-05	8.3714e-06	7.1875e-15	4.8596e-11	4.4392e-10	3.1636e-10	
3.1048e-07	1.0732e+03	8.9156e-01	4.9726e-03	7.2215e-02	1.7231e-09	1.4814e-06	6.1505e-06	3.1221e-02	1.1088e-05	8.3761e-06	7.6951e-15	4.8434e-11	4.4261e-10	3.1534e-10	
3.2591e-07	1.0732e+03	8.9058e-01	5.0628e-03	7.1868e-02	1.7210e-09	1.5507e-06	6.2686e-06	3.2460e-02	1.1247e-05	8.3800e-06	8.2112e-15	4.8279e-11	4.4135e-10	3.1437e-10	
3.4133e-07	1.0732e+03	8.8961e-01	5.1508e-03	7.1535e-02	1.7190e-09	1.6195e-06	6.3854e-06	3.3676e-02	1.1402e-05	8.3835e-06	8.7353e-15	4.8130e-11	4.4015e-10	3.1342e-10	
3.7073e-07	1.0732e+03	8.8780e-01	5.3134e-03	7.0932e-02	1.7152e-09	1.7493e-06	6.6045e-06	3.5931e-02	1.1686e-05	8.3891e-06	9.7563e-15	4.7857e-11	4.3795e-10	3.1171e-10	
4.0012e-07	1.0732e+03	8.8604e-01	5.4702e-03	7.0354e-02	1.7115e-09	1.8777e-06	6.8187e-06	3.8110e-02	1.1957e-05	8.3945e-06	1.0805e-14	4.7596e-11	4.3583e-10	3.1006e-10	
4.2952e-07	1.0732e+03	8.8433e-01	5.6218e-03	6.9801e-02	1.7079e-09	2.0046e-06	7.0283e-06	4.0217e-02	1.2215e-05	8.3995e-06	1.1881e-14	4.7345e-11	4.3381e-10	3.0848e-10	
4.5892e-07	1.0732e+03	8.8268e-01	5.7690e-03	6.9261e-02	1.7045e-09	2.1300e-06	7.2329e-06	4.2258e-02	1.2462e-05	8.4049e-06	1.2982e-14	4.7099e-11	4.3182e-10	3.0693e-10	
4.8831e-07	1.0732e+03	8.8109e-01	5.9124e-03	6.8729e-02	1.7011e-09	2.2540e-06	7.4327e-06	4.4238e-02	1.2696e-05	8.4110e-06	1.4108e-14	4.6859e-11	4.2988e-10	3.0542e-10	
5.1771e-07	1.0732e+03	8.7955e-01	6.0522e-03	6.8210e-02	1.6979e-09	2.3767e-06	7.6278e-06	4.6158e-02	1.2921e-05	8.4173e-06	1.5258e-14	4.6625e-11	4.2798e-10	3.0394e-10	
5.4710e-07	1.0732e+03	8.7805e-01	6.1884e-03	6.7703e-02	1.6947e-09	2.4982e-06	7.8187e-06	4.8024e-02	1.3136e-05	8.4238e-06	1.6431e-14	4.6396e-11	4.2612e-10	3.0250e-10	
5.7650e-07	1.0732e+03	8.7660e-01	6.3214e-03	6.7208e-02	1.6916e-09	2.6183e-06	8.0054e-06	4.9837e-02	1.3342e-05	8.4306e-06	1.7625e-14	4.6173e-11	4.2431e-10	3.0109e-10	
6.0590e-07	1.0732e+03	8.7519e-01	6.4516e-03	6.6720e-02	1.6886e-09	2.7373e-06	8.1878e-06	5.1602e-02	1.3540e-05	8.4378e-06	1.8840e-14	4.5954e-11	4.2252e-10	2.9970e-10	
