         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
7.0637e-05	1.0732e+03	6.3343e-01	5.7013e-02	7.3033e-03	1.0573e-09	5.2490e-05	1.9397e-05	3.0214e-01	1.8097e-05	1.8982e-05	5.4828e-12	1.8048e-11	1.9294e-10	1.1406e-10	
7.2995e-05	1.0732e+03	6.3126e-01	5.7752e-02	7.1372e-03	1.0502e-09	5.3001e-05	1.9286e-05	3.0374e-01	1.7976e-05	1.9168e-05	5.6530e-12	1.7960e-11	1.9205e-10	1.1322e-10	
7.5352e-05	1.0732e+03	6.2915e-01	5.8474e-02	6.9795e-03	1.0433e-09	5.3491e-05	1.9176e-05	3.0528e-01	1.7858e-05	1.9351e-05	5.8219e-12	1.7878e-11	1.9119e-10	1.1241e-10	
7.7710e-05	1.0732e+03	6.2711e-01	5.9178e-02	6.8294e-03	1.0365e-09	5.3961e-05	1.9067e-05	3.0677e-01	1.7742e-05	1.9530e-05	5.9896e-12	1.7800e-11	1.9036e-10	1.1164e-10	
8.0068e-05	1.0732e+03	6.2513e-01	5.9865e-02	6.6866e-03	1.0299e-09	5.4413e-05	1.8961e-05	3.0820e-01	1.7629e-05	1.9705e-05	6.1560e-12	1.7726e-11	1.8957e-10	1.1089e-10	
8.2426e-05	1.0732e+03	6.2321e-01	6.0537e-02	6.5506e-03	1.0235e-09	5.4847e-05	1.8855e-05	3.0959e-01	1.7518e-05	1.9876e-05	6.3212e-12	1.7657e-11	1.8880e-10	1.1018e-10	
8.6880e-05	1.0732e+03	6.1973e-01	6.1766e-02	6.3097e-03	1.0118e-09	5.5620e-05	1.8659e-05	3.1208e-01	1.7313e-05	2.0192e-05	6.6299e-12	1.7536e-11	1.8743e-10	1.0889e-10	
9.1334e-05	1.0732e+03	6.1643e-01	6.2945e-02	6.0881e-03	1.0006e-09	5.6339e-05	1.8467e-05	3.1443e-01	1.7115e-05	2.0497e-05	6.9344e-12	1.7426e-11	1.8615e-10	1.0768e-10	
9.5789e-05	1.0732e+03	6.1328e-01	6.4079e-02	5.8836e-03	9.8984e-10	5.7008e-05	1.8280e-05	3.1664e-01	1.6924e-05	2.0791e-05	7.2346e-12	1.7328e-11	1.8494e-10	1.0655e-10	
1.0024e-04	1.0732e+03	6.1029e-01	6.5171e-02	5.6938e-03	9.7950e-10	5.7631e-05	1.8097e-05	3.1874e-01	1.6739e-05	2.1076e-05	7.5309e-12	1.7238e-11	1.8380e-10	1.0548e-10	
1.0470e-04	1.0732e+03	6.0742e-01	6.6224e-02	5.5172e-03	9.6955e-10	5.8211e-05	1.7919e-05	3.2072e-01	1.6560e-05	2.1353e-05	7.8232e-12	1.7158e-11	1.8272e-10	1.0447e-10	
1.0915e-04	1.0732e+03	6.0468e-01	6.7241e-02	5.3526e-03	9.5997e-10	5.8753e-05	1.7745e-05	3.2261e-01	1.6387e-05	2.1621e-05	8.1116e-12	1.7084e-11	1.8170e-10	1.0352e-10	
1.1361e-04	1.0732e+03	6.0206e-01	6.8224e-02	5.1987e-03	9.5071e-10	5.9260e-05	1.7575e-05	3.2441e-01	1.6218e-05	2.1882e-05	8.3962e-12	1.7018e-11	1.8073e-10	1.0261e-10	
1.2032e-04	1.0732e+03	5.9829e-01	6.9647e-02	4.9844e-03	9.3734e-10	5.9962e-05	1.7327e-05	3.2696e-01	1.5974e-05	2.2261e-05	8.8185e-12	1.6930e-11	1.7935e-10	1.0133e-10	
1.2704e-04	1.0732e+03	5.9474e-01	7.1004e-02	4.7889e-03	9.2461e-10	6.0597e-05	1.7087e-05	3.2935e-01	1.5740e-05	2.2625e-05	9.2328e-12	1.6853e-11	1.7807e-10	1.0014e-10	
1.3376e-04	1.0732e+03	5.9139e-01	7.2301e-02	4.6097e-03	9.1245e-10	6.1172e-05	1.6855e-05	3.3159e-01	1.5515e-05	2.2976e-05	9.6392e-12	1.6788e-11	1.7686e-10	9.9029e-11	
1.4048e-04	1.0732e+03	5.8820e-01	7.3544e-02	4.4448e-03	9.0083e-10	6.1693e-05	1.6631e-05	3.3369e-01	1.5300e-05	2.3314e-05	1.0038e-11	1.6732e-11	1.7573e-10	9.7991e-11	
1.4720e-04	1.0732e+03	5.8518e-01	7.4736e-02	4.2924e-03	8.8968e-10	6.2165e-05	1.6415e-05	3.3568e-01	1.5092e-05	2.3640e-05	1.0430e-11	1.6684e-11	1.7466e-10	9.7017e-11	
1.5391e-04	1.0732e+03	5.8230e-01	7.5881e-02	4.1512e-03	8.7899e-10	6.2593e-05	1.6205e-05	3.3755e-01	1.4893e-05	2.3955e-05	1.0815e-11	1.6644e-11	1.7366e-10	9.6101e-11	
1.6063e-04	1.0732e+03	5.7955e-01	7.6982e-02	4.0198e-03	8.6870e-10	6.2980e-05	1.6003e-05	3.3933e-01	1.4700e-05	2.4259e-05	1.1193e-11	1.6610e-11	1.7270e-10	9.5238e-11	
1.6735e-04	1.0732e+03	5.7692e-01	7.8044e-02	3.8973e-03	8.5879e-10	6.3330e-05	1.5806e-05	3.4102e-01	1.4514e-05	2.4555e-05	1.1564e-11	1.6582e-11	1.7179e-10	9.4423e-11	
1.7407e-04	1.0732e+03	5.7441e-01	7.9068e-02	3.7827e-03	8.4924e-10	6.3647e-05	1.5616e-05	3.4262e-01	1.4335e-05	2.4841e-05	1.1929e-11	1.6559e-11	1.7093e-10	9.3652e-11	
1.8078e-04	1.0732e+03	5.7200e-01	8.0056e-02	3.6753e-03	8.4001e-10	6.3933e-05	1.5431e-05	3.4415e-01	1.4161e-05	2.5118e-05	1.2289e-11	1.6542e-11	1.7010e-10	9.2922e-11	
1.8750e-04	1.0732e+03	5.6968e-01	8.1012e-02	3.5743e-03	8.3110e-10	6.4190e-05	1.5251e-05	3.4561e-01	1.3993e-05	2.5388e-05	1.2642e-11	1.6528e-11	1.6932e-10	9.2228e-11	
1.9835e-04	1.0732e+03	5.6613e-01	8.2491e-02	3.4235e-03	8.1730e-10	6.4551e-05	1.4972e-05	3.4783e-01	1.3733e-05	2.5808e-05	1.3200e-11	1.6514e-11	1.6812e-10	9.1179e-11	
2.0920e-04	1.0732e+03	5.6279e-01	8.3897e-02	3.2859e-03	8.0418e-10	6.4852e-05	1.4706e-05	3.4991e-01	1.3485e-05	2.6210e-05	1.3744e-11	1.6509e-11	1.6700e-10	9.0210e-11	
2.2004e-04	1.0732e+03	5.5963e-01	8.5237e-02	3.1597e-03	7.9167e-10	6.5099e-05	1.4451e-05	3.5185e-01	1.3249e-05	2.6595e-05	1.4275e-11	1.6511e-11	1.6595e-10	8.9311e-11	
2.3089e-04	1.0732e+03	5.5665e-01	8.6516e-02	3.0436e-03	7.7973e-10	6.5300e-05	1.4206e-05	3.5367e-01	1.3023e-05	2.6965e-05	1.4793e-11	1.6520e-11	1.6497e-10	8.8475e-11	
2.4174e-04	1.0732e+03	5.5381e-01	8.7738e-02	2.9364e-03	7.6830e-10	6.5459e-05	1.3972e-05	3.5539e-01	1.2807e-05	2.7321e-05	1.5298e-11	1.6534e-11	1.6404e-10	8.7696e-11	
2.5258e-04	1.0732e+03	5.5112e-01	8.8910e-02	2.8370e-03	7.5734e-10	6.5581e-05	1.3746e-05	3.5701e-01	1.2600e-05	2.7664e-05	1.5792e-11	1.6553e-11	1.6316e-10	8.6968e-11	
2.6343e-04	1.0732e+03	5.4856e-01	9.0033e-02	2.7446e-03	7.4682e-10	6.5669e-05	1.3530e-05	3.5855e-01	1.2402e-05	2.7995e-05	1.6275e-11	1.6576e-11	1.6234e-10	8.6286e-11	
2.7428e-04	1.0732e+03	5.4611e-01	9.1113e-02	2.6584e-03	7.3670e-10	6.5728e-05	1.3321e-05	3.6000e-01	1.2211e-05	2.8314e-05	1.6747e-11	1.6603e-11	1.6155e-10	8.5647e-11	
2.8512e-04	1.0732e+03	5.4377e-01	9.2151e-02	2.5778e-03	7.2695e-10	6.5758e-05	1.3120e-05	3.6138e-01	1.2027e-05	2.8623e-05	1.7208e-11	1.6633e-11	1.6081e-10	8.5047e-11	
2.9597e-04	1.0732e+03	5.4153e-01	9.3151e-02	2.5022e-03	7.1756e-10	6.5765e-05	1.2926e-05	3.6270e-01	1.1850e-05	2.8922e-05	1.7660e-11	1.6666e-11	1.6011e-10	8.4482e-11	
3.0682e-04	1.0732e+03	5.3938e-01	9.4115e-02	2.4312e-03	7.0849e-10	6.5751e-05	1.2739e-05	3.6395e-01	1.1679e-05	2.9210e-05	1.8103e-11	1.6702e-11	1.5943e-10	8.3950e-11	
3.1766e-04	1.0732e+03	5.3732e-01	9.5046e-02	2.3644e-03	6.9972e-10	6.5717e-05	1.2558e-05	3.6515e-01	1.1514e-05	2.9490e-05	1.8536e-11	1.6739e-11	1.5879e-10	8.3448e-11	
3.2851e-04	1.0732e+03	5.3534e-01	9.5945e-02	2.3014e-03	6.9125e-10	6.5664e-05	1.2383e-05	3.6629e-01	1.1355e-05	2.9762e-05	1.8961e-11	1.6779e-11	1.5819e-10	8.2974e-11	
3.3935e-04	1.0732e+03	5.3344e-01	9.6815e-02	2.2417e-03	6.8304e-10	6.5594e-05	1.2214e-05	3.6739e-01	1.1201e-05	3.0026e-05	1.9377e-11	1.6820e-11	1.5761e-10	8.2526e-11	
3.5020e-04	1.0732e+03	5.3160e-01	9.7656e-02	2.1853e-03	6.7508e-10	6.5510e-05	1.2050e-05	3.6844e-01	1.1052e-05	3.0282e-05	1.9785e-11	1.6863e-11	1.5705e-10	8.2102e-11	
3.6105e-04	1.0732e+03	5.2983e-01	9.8472e-02	2.1318e-03	6.6736e-10	6.5414e-05	1.1891e-05	3.6945e-01	1.0908e-05	3.0531e-05	2.0185e-11	1.6907e-11	1.5652e-10	8.1700e-11	
3.7189e-04	1.0732e+03	5.2812e-01	9.9262e-02	2.0810e-03	6.5987e-10	6.5304e-05	1.1737e-05	3.7041e-01	1.0768e-05	3.0773e-05	2.0578e-11	1.6952e-11	1.5601e-10	8.1320e-11	
3.8274e-04	1.0732e+03	5.2647e-01	1.0003e-01	2.0326e-03	6.5260e-10	6.5184e-05	1.1587e-05	3.7135e-01	1.0632e-05	3.1009e-05	2.0963e-11	1.6999e-11	1.5553e-10	8.0958e-11	
3.9359e-04	1.0732e+03	5.2488e-01	1.0077e-01	1.9866e-03	6.4552e-10	6.5053e-05	1.1442e-05	3.7224e-01	1.0500e-05	3.1238e-05	2.1342e-11	1.7046e-11	1.5506e-10	8.0615e-11	
4.0443e-04	1.0732e+03	5.2333e-01	1.0150e-01	1.9427e-03	6.3864e-10	6.4913e-05	1.1301e-05	3.7311e-01	1.0373e-05	3.1461e-05	2.1713e-11	1.7093e-11	1.5462e-10	8.0289e-11	
4.2020e-04	1.0732e+03	5.2118e-01	1.0251e-01	1.8823e-03	6.2895e-10	6.4695e-05	1.1103e-05	3.7431e-01	1.0193e-05	3.1776e-05	2.2242e-11	1.7164e-11	1.5400e-10	7.9844e-11	
4.3597e-04	1.0732e+03	5.1911e-01	1.0349e-01	1.8257e-03	6.1963e-10	6.4461e-05	1.0912e-05	3.7546e-01	1.0020e-05	3.2079e-05	2.2758e-11	1.7235e-11	1.5342e-10	7.9429e-11	
4.5174e-04	1.0732e+03	5.1714e-01	1.0443e-01	1.7726e-03	6.1064e-10	6.4214e-05	1.0729e-05	3.7655e-01	9.8545e-06	3.2371e-05	2.3260e-11	1.7307e-11	1.5288e-10	7.9042e-11	
4.6751e-04	1.0732e+03	5.1524e-01	1.0533e-01	1.7225e-03	6.0197e-10	6.3955e-05	1.0552e-05	3.7759e-01	9.6947e-06	3.2654e-05	2.3751e-11	1.7380e-11	1.5236e-10	7.8682e-11	
4.8328e-04	1.0732e+03	5.1342e-01	1.0620e-01	1.6753e-03	5.9359e-10	6.3686e-05	1.0382e-05	3.7858e-01	9.5407e-06	3.2927e-05	2.4230e-11	1.7453e-11	1.5188e-10	7.8346e-11	
4.9905e-04	1.0732e+03	5.1168e-01	1.0705e-01	1.6307e-03	5.8549e-10	6.3407e-05	1.0218e-05	3.7953e-01	9.3922e-06	3.3191e-05	2.4698e-11	1.7526e-11	1.5142e-10	7.8032e-11	
5.2337e-04	1.0732e+03	5.0911e-01	1.0829e-01	1.5665e-03	5.7350e-10	6.2963e-05	9.9756e-06	3.8092e-01	9.1731e-06	3.3581e-05	2.5399e-11	1.7640e-11	1.5076e-10	7.7587e-11	
5.6678e-04	1.0732e+03	5.0488e-01	1.1036e-01	1.4639e-03	5.5347e-10	6.2136e-05	9.5731e-06	3.8319e-01	8.8090e-06	3.4232e-05	2.6593e-11	1.7841e-11	1.4971e-10	7.6897e-11	
5.9592e-04	1.0732e+03	5.0226e-01	1.1165e-01	1.4024e-03	5.4092e-10	6.1563e-05	9.3222e-06	3.8458e-01	8.5820e-06	3.4638e-05	2.7355e-11	1.7975e-11	1.4910e-10	7.6498e-11	
6.2505e-04	1.0732e+03	4.9979e-01	1.1287e-01	1.3459e-03	5.2900e-10	6.0980e-05	9.0850e-06	3.8588e-01	8.3674e-06	3.5024e-05	2.8089e-11	1.8107e-11	1.4854e-10	7.6145e-11	
6.5418e-04	1.0732e+03	4.9747e-01	1.1402e-01	1.2938e-03	5.1766e-10	6.0390e-05	8.8604e-06	3.8710e-01	8.1642e-06	3.5388e-05	2.8796e-11	1.8237e-11	1.4803e-10	7.5830e-11	
6.8331e-04	1.0732e+03	4.9527e-01	1.1512e-01	1.2457e-03	5.0686e-10	5.9796e-05	8.6474e-06	3.8825e-01	7.9714e-06	3.5734e-05	2.9478e-11	1.8366e-11	1.4757e-10	7.5549e-11	
7.1245e-04	1.0732e+03	4.9319e-01	1.1617e-01	1.2010e-03	4.9654e-10	5.9201e-05	8.4449e-06	3.8933e-01	7.7880e-06	3.6063e-05	3.0137e-11	1.8491e-11	1.4715e-10	7.5300e-11	
7.4158e-04	1.0732e+03	4.9121e-01	1.1717e-01	1.1594e-03	4.8668e-10	5.8605e-05	8.2522e-06	3.9035e-01	7.6133e-06	3.6375e-05	3.0773e-11	1.8615e-11	1.4678e-10	7.5077e-11	
7.7071e-04	1.0732e+03	4.8933e-01	1.1812e-01	1.1206e-03	4.7723e-10	5.8011e-05	8.0684e-06	3.9132e-01	7.4468e-06	3.6672e-05	3.1388e-11	1.8736e-11	1.4643e-10	7.4879e-11	
7.9985e-04	1.0732e+03	4.8755e-01	1.1903e-01	1.0843e-03	4.6818e-10	5.7419e-05	7.8929e-06	3.9223e-01	7.2877e-06	3.6955e-05	3.1984e-11	1.8854e-11	1.4612e-10	7.4702e-11	
8.2898e-04	1.0732e+03	4.8584e-01	1.1990e-01	1.0502e-03	4.5948e-10	5.6831e-05	7.7252e-06	3.9310e-01	7.1355e-06	3.7224e-05	3.2561e-11	1.8970e-11	1.4584e-10	7.4545e-11	
8.5811e-04	1.0732e+03	4.8421e-01	1.2073e-01	1.0182e-03	4.5112e-10	5.6247e-05	7.5646e-06	3.9393e-01	6.9898e-06	3.7481e-05	3.3121e-11	1.9083e-11	1.4558e-10	7.4404e-11	
8.8724e-04	1.0732e+03	4.8265e-01	1.2153e-01	9.8813e-04	4.4308e-10	5.5667e-05	7.4107e-06	3.9472e-01	6.8501e-06	3.7726e-05	3.3663e-11	1.9194e-11	1.4535e-10	7.4280e-11	
9.1638e-04	1.0732e+03	4.8116e-01	1.2230e-01	9.5971e-04	4.3533e-10	5.5094e-05	7.2631e-06	3.9547e-01	6.7160e-06	3.7959e-05	3.4190e-11	1.9301e-11	1.4514e-10	7.4169e-11	
9.4551e-04	1.0732e+03	4.7973e-01	1.2304e-01	9.3286e-04	4.2786e-10	5.4526e-05	7.1213e-06	3.9618e-01	6.5871e-06	3.8182e-05	3.4701e-11	1.9406e-11	1.4495e-10	7.4070e-11	
9.9092e-04	1.0732e+03	4.7762e-01	1.2414e-01	8.9380e-04	4.1674e-10	5.3654e-05	6.9111e-06	3.9724e-01	6.3960e-06	3.8509e-05	3.5469e-11	1.9565e-11	1.4469e-10	7.3938e-11	
1.0363e-03	1.0732e+03	4.7562e-01	1.2518e-01	8.5783e-04	4.0619e-10	5.2798e-05	6.7130e-06	3.9823e-01	6.2157e-06	3.8814e-05	3.6205e-11	1.9716e-11	1.4446e-10	7.3829e-11	
1.0817e-03	1.0732e+03	4.7375e-01	1.2616e-01	8.2456e-04	3.9617e-10	5.1959e-05	6.5259e-06	3.9916e-01	6.0454e-06	3.9098e-05	3.6911e-11	1.9862e-11	1.4427e-10	7.3739e-11	
1.1272e-03	1.0732e+03	4.7198e-01	1.2709e-01	7.9370e-04	3.8663e-10	5.1137e-05	6.3489e-06	4.0003e-01	5.8841e-06	3.9362e-05	3.7587e-11	2.0001e-11	1.4411e-10	7.3665e-11	
1.1726e-03	1.0732e+03	4.7030e-01	1.2798e-01	7.6499e-04	3.7755e-10	5.0332e-05	6.1810e-06	4.0086e-01	5.7310e-06	3.9608e-05	3.8238e-11	2.0134e-11	1.4397e-10	7.3605e-11	
1.2180e-03	1.0732e+03	4.6871e-01	1.2882e-01	7.3822e-04	3.6888e-10	4.9545e-05	6.0218e-06	4.0163e-01	5.5857e-06	3.9836e-05	3.8863e-11	2.0261e-11	1.4385e-10	7.3555e-11	
1.2634e-03	1.0732e+03	4.6720e-01	1.2962e-01	7.1320e-04	3.6059e-10	4.8777e-05	5.8703e-06	4.0237e-01	5.4474e-06	4.0049e-05	3.9465e-11	2.0383e-11	1.4376e-10	7.3515e-11	
1.3088e-03	1.0732e+03	4.6576e-01	1.3038e-01	6.8973e-04	3.5267e-10	4.8025e-05	5.7260e-06	4.0306e-01	5.3156e-06	4.0247e-05	4.0045e-11	2.0498e-11	1.4367e-10	7.3482e-11	
1.3542e-03	1.0732e+03	4.6440e-01	1.3111e-01	6.6769e-04	3.4507e-10	4.7289e-05	5.5884e-06	4.0373e-01	5.1898e-06	4.0431e-05	4.0604e-11	2.0609e-11	1.4360e-10	7.3457e-11	
1.3996e-03	1.0732e+03	4.6309e-01	1.3181e-01	6.4697e-04	3.3779e-10	4.6571e-05	5.4571e-06	4.0435e-01	5.0697e-06	4.0602e-05	4.1144e-11	2.0714e-11	1.4354e-10	7.3436e-11	
1.4450e-03	1.0732e+03	4.6185e-01	1.3248e-01	6.2744e-04	3.3080e-10	4.5871e-05	5.3317e-06	4.0495e-01	4.9549e-06	4.0760e-05	4.1665e-11	2.0814e-11	1.4349e-10	7.3418e-11	
1.4904e-03	1.0732e+03	4.6065e-01	1.3312e-01	6.0899e-04	3.2407e-10	4.5185e-05	5.2115e-06	4.0553e-01	4.8449e-06	4.0907e-05	4.2168e-11	2.0909e-11	1.4344e-10	7.3403e-11	
1.5358e-03	1.0732e+03	4.5951e-01	1.3373e-01	5.9152e-04	3.1761e-10	4.4516e-05	5.0964e-06	4.0607e-01	4.7394e-06	4.1043e-05	4.2655e-11	2.0999e-11	1.4341e-10	7.3391e-11	
1.5813e-03	1.0732e+03	4.5842e-01	1.3432e-01	5.7500e-04	3.1139e-10	4.3863e-05	4.9862e-06	4.0659e-01	4.6383e-06	4.1168e-05	4.3126e-11	2.1085e-11	1.4337e-10	7.3380e-11	
1.6094e-03	1.0732e+03	4.5777e-01	1.3467e-01	5.6521e-04	3.0766e-10	4.3466e-05	4.9202e-06	4.0690e-01	4.5778e-06	4.1240e-05	4.3410e-11	2.1136e-11	1.4335e-10	7.3373e-11	
1.6375e-03	1.0732e+03	4.5713e-01	1.3502e-01	5.5571e-04	3.0400e-10	4.3075e-05	4.8558e-06	4.0721e-01	4.5187e-06	4.1310e-05	4.3688e-11	2.1185e-11	1.4334e-10	7.3367e-11	
1.6656e-03	1.0732e+03	4.5651e-01	1.3535e-01	5.4651e-04	3.0043e-10	4.2689e-05	4.7930e-06	4.0750e-01	4.4610e-06	4.1375e-05	4.3961e-11	2.1232e-11	1.4332e-10	7.3361e-11	
1.6937e-03	1.0732e+03	4.5590e-01	1.3568e-01	5.3759e-04	2.9693e-10	4.2309e-05	4.7316e-06	4.0779e-01	4.4047e-06	4.1437e-05	4.4229e-11	2.1278e-11	1.4330e-10	7.3354e-11	
1.7218e-03	1.0732e+03	4.5531e-01	1.3600e-01	5.2893e-04	2.9352e-10	4.1934e-05	4.6717e-06	4.0807e-01	4.3497e-06	4.1496e-05	4.4491e-11	2.1322e-11	1.4329e-10	7.3348e-11	
1.7499e-03	1.0732e+03	4.5473e-01	1.3632e-01	5.2053e-04	2.9017e-10	4.1564e-05	4.6132e-06	4.0834e-01	4.2959e-06	4.1551e-05	4.4749e-11	2.1365e-11	1.4327e-10	7.3342e-11	
1.7780e-03	1.0732e+03	4.5416e-01	1.3662e-01	5.1239e-04	2.8689e-10	4.1200e-05	4.5561e-06	4.0861e-01	4.2435e-06	4.1604e-05	4.5002e-11	2.1406e-11	1.4325e-10	7.3335e-11	
1.7947e-03	1.0732e+03	4.5384e-01	1.3680e-01	5.0769e-04	2.8499e-10	4.0988e-05	4.5231e-06	4.0876e-01	4.2132e-06	4.1633e-05	4.5149e-11	2.1430e-11	1.4324e-10	7.3330e-11	
1.8113e-03	1.0732e+03	4.5351e-01	1.3698e-01	5.0305e-04	2.8311e-10	4.0777e-05	4.4903e-06	4.0892e-01	4.1830e-06	4.1661e-05	4.5295e-11	2.1453e-11	1.4323e-10	7.3326e-11	
1.8211e-03	1.0732e+03	4.5333e-01	1.3708e-01	5.0036e-04	2.8201e-10	4.0653e-05	4.4712e-06	4.0900e-01	4.1655e-06	4.1678e-05	4.5380e-11	2.1467e-11	1.4323e-10	7.3323e-11	
1.8308e-03	1.0732e+03	4.5314e-01	1.3718e-01	4.9770e-04	2.8092e-10	4.0530e-05	4.4523e-06	4.0909e-01	4.1481e-06	4.1694e-05	4.5465e-11	2.1480e-11	1.4322e-10	7.3320e-11	
1.8406e-03	1.0732e+03	4.5295e-01	1.3728e-01	4.9506e-04	2.7984e-10	4.0408e-05	4.4335e-06	4.0918e-01	4.1309e-06	4.1709e-05	4.5549e-11	2.1493e-11	1.4322e-10	7.3318e-11	
1.8504e-03	1.0732e+03	4.5277e-01	1.3738e-01	4.9246e-04	2.7877e-10	4.0286e-05	4.4149e-06	4.0926e-01	4.1138e-06	4.1725e-05	4.5632e-11	2.1506e-11	1.4321e-10	7.3315e-11	
1.8602e-03	1.0732e+03	4.5259e-01	1.3748e-01	4.8987e-04	2.7770e-10	4.0165e-05	4.3965e-06	4.0935e-01	4.0968e-06	4.1739e-05	4.5715e-11	2.1518e-11	1.4321e-10	7.3312e-11	
1.8670e-03	1.0732e+03	4.5246e-01	1.3755e-01	4.8810e-04	2.7697e-10	4.0082e-05	4.3838e-06	4.0941e-01	4.0851e-06	4.1749e-05	4.5772e-11	2.1527e-11	1.4320e-10	7.3309e-11	
1.8738e-03	1.0732e+03	4.5234e-01	1.3762e-01	4.8632e-04	2.7623e-10	3.9998e-05	4.3710e-06	4.0947e-01	4.0734e-06	4.1760e-05	4.5830e-11	2.1536e-11	1.4320e-10	7.3307e-11	
1.8781e-03	1.0732e+03	4.5226e-01	1.3766e-01	4.8523e-04	2.7578e-10	3.9946e-05	4.3632e-06	4.0951e-01	4.0662e-06	4.1766e-05	4.5865e-11	2.1541e-11	1.4320e-10	7.3306e-11	
1.8810e-03	1.0732e+03	4.5220e-01	1.3769e-01	4.8447e-04	2.7546e-10	3.9910e-05	4.3577e-06	4.0953e-01	4.0612e-06	4.1770e-05	4.5889e-11	2.1545e-11	1.4319e-10	7.3305e-11	
1.8839e-03	1.0732e+03	4.5215e-01	1.3772e-01	4.8371e-04	2.7515e-10	3.9874e-05	4.3523e-06	4.0956e-01	4.0562e-06	4.1774e-05	4.5914e-11	2.1549e-11	1.4319e-10	7.3304e-11	
1.8869e-03	1.0732e+03	4.5210e-01	1.3775e-01	4.8296e-04	2.7484e-10	3.9838e-05	4.3469e-06	4.0958e-01	4.0512e-06	4.1778e-05	4.5938e-11	2.1552e-11	1.4319e-10	7.3303e-11	
1.8898e-03	1.0732e+03	4.5204e-01	1.3778e-01	4.8221e-04	2.7452e-10	3.9803e-05	4.3415e-06	4.0961e-01	4.0463e-06	4.1783e-05	4.5963e-11	2.1556e-11	1.4319e-10	7.3302e-11	
1.8927e-03	1.0732e+03	4.5199e-01	1.3781e-01	4.8146e-04	2.7421e-10	3.9767e-05	4.3362e-06	4.0963e-01	4.0413e-06	4.1787e-05	4.5987e-11	2.1559e-11	1.4319e-10	7.3301e-11	
1.8957e-03	1.0732e+03	4.5194e-01	1.3784e-01	4.8072e-04	2.7390e-10	3.9732e-05	4.3307e-06	4.0965e-01	4.0364e-06	4.1791e-05	4.6011e-11	2.1563e-11	1.4319e-10	7.3301e-11	
1.8986e-03	1.0732e+03	4.5189e-01	1.3786e-01	4.7997e-04	2.7359e-10	3.9696e-05	4.3254e-06	4.0968e-01	4.0314e-06	4.1795e-05	4.6035e-11	2.1567e-11	1.4318e-10	7.3300e-11	
1.9015e-03	1.0732e+03	4.5183e-01	1.3789e-01	4.7923e-04	2.7328e-10	3.9661e-05	4.3200e-06	4.0970e-01	4.0265e-06	4.1799e-05	4.6059e-11	2.1570e-11	1.4318e-10	7.3299e-11	
1.9061e-03	1.0732e+03	4.5175e-01	1.3794e-01	4.7809e-04	2.7280e-10	3.9606e-05	4.3118e-06	4.0974e-01	4.0189e-06	4.1805e-05	4.6097e-11	2.1576e-11	1.4318e-10	7.3297e-11	
1.9091e-03	1.0732e+03	4.5170e-01	1.3797e-01	4.7733e-04	2.7249e-10	3.9569e-05	4.3063e-06	4.0977e-01	4.0139e-06	4.1809e-05	4.6121e-11	2.1580e-11	1.4318e-10	7.3296e-11	
1.9122e-03	1.0732e+03	4.5164e-01	1.3800e-01	4.7657e-04	2.7217e-10	3.9533e-05	4.3008e-06	4.0979e-01	4.0088e-06	4.1813e-05	4.6146e-11	2.1583e-11	1.4317e-10	7.3295e-11	
1.9152e-03	1.0732e+03	4.5159e-01	1.3803e-01	4.7581e-04	2.7185e-10	3.9496e-05	4.2953e-06	4.0982e-01	4.0038e-06	4.1817e-05	4.6171e-11	2.1587e-11	1.4317e-10	7.3294e-11	
1.9182e-03	1.0732e+03	4.5154e-01	1.3806e-01	4.7506e-04	2.7154e-10	3.9460e-05	4.2899e-06	4.0984e-01	3.9988e-06	4.1821e-05	4.6196e-11	2.1590e-11	1.4317e-10	7.3293e-11	
1.9213e-03	1.0732e+03	4.5148e-01	1.3809e-01	4.7430e-04	2.7122e-10	3.9423e-05	4.2844e-06	4.0987e-01	3.9938e-06	4.1825e-05	4.6220e-11	2.1594e-11	1.4317e-10	7.3292e-11	
1.9243e-03	1.0732e+03	4.5143e-01	1.3811e-01	4.7356e-04	2.7090e-10	3.9387e-05	4.2790e-06	4.0989e-01	3.9888e-06	4.1829e-05	4.6245e-11	2.1598e-11	1.4317e-10	7.3291e-11	
1.9291e-03	1.0732e+03	4.5134e-01	1.3816e-01	4.7239e-04	2.7041e-10	3.9330e-05	4.2705e-06	4.0993e-01	3.9810e-06	4.1835e-05	4.6284e-11	2.1603e-11	1.4316e-10	7.3289e-11	
1.9338e-03	1.0732e+03	4.5126e-01	1.3821e-01	4.7122e-04	2.6992e-10	3.9274e-05	4.2621e-06	4.0997e-01	3.9732e-06	4.1841e-05	4.6322e-11	2.1609e-11	1.4316e-10	7.3287e-11	
1.9386e-03	1.0732e+03	4.5118e-01	1.3825e-01	4.7006e-04	2.6943e-10	3.9217e-05	4.2537e-06	4.1001e-01	3.9655e-06	4.1847e-05	4.6360e-11	2.1614e-11	1.4316e-10	7.3285e-11	
