         z	         T	         p	         u	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
2.2263e-07	1.0732e+03	1.0000e+05	1.0005e-01	3.2509e-01	2.4966e-01	4.0776e-04	4.7927e-05	8.6347e-04	2.4925e-01	7.2199e-17	4.9977e-01	
2.3135e-07	1.0732e+03	1.0000e+05	1.0005e-01	3.2508e-01	2.4964e-01	4.2376e-04	4.9535e-05	8.9706e-04	2.4922e-01	7.1718e-17	4.9976e-01	
2.4007e-07	1.0732e+03	1.0000e+05	1.0005e-01	3.2508e-01	2.4963e-01	4.3972e-04	5.1113e-05	9.3057e-04	2.4919e-01	7.1233e-17	4.9975e-01	
2.4879e-07	1.0732e+03	1.0000e+05	1.0005e-01	3.2507e-01	2.4962e-01	4.5565e-04	5.2666e-05	9.6399e-04	2.4916e-01	7.0749e-17	4.9975e-01	
2.6421e-07	1.0732e+03	1.0000e+05	1.0005e-01	3.2506e-01	2.4960e-01	4.8375e-04	5.5364e-05	1.0229e-03	2.4911e-01	6.9907e-17	4.9973e-01	
2.7964e-07	1.0732e+03	1.0000e+05	1.0006e-01	3.2505e-01	2.4957e-01	5.1174e-04	5.8020e-05	1.0815e-03	2.4906e-01	6.9105e-17	4.9972e-01	
2.9506e-07	1.0732e+03	1.0000e+05	1.0006e-01	3.2504e-01	2.4955e-01	5.3961e-04	6.0639e-05	1.1399e-03	2.4901e-01	6.8336e-17	4.9970e-01	
3.1048e-07	1.0732e+03	1.0000e+05	1.0006e-01	3.2503e-01	2.4953e-01	5.6736e-04	6.3241e-05	1.1980e-03	2.4896e-01	6.7619e-17	4.9968e-01	
3.2591e-07	1.0732e+03	1.0000e+05	1.0007e-01	3.2502e-01	2.4950e-01	5.9498e-04	6.5829e-05	1.2558e-03	2.4891e-01	6.6950e-17	4.9967e-01	
3.4133e-07	1.0732e+03	1.0000e+05	1.0007e-01	3.2501e-01	2.4948e-01	6.2249e-04	6.8407e-05	1.3134e-03	2.4886e-01	6.6320e-17	4.9965e-01	
3.7073e-07	1.0732e+03	1.0000e+05	1.0007e-01	3.2499e-01	2.4944e-01	6.7458e-04	7.3302e-05	1.4225e-03	2.4876e-01	6.5211e-17	4.9963e-01	
4.0012e-07	1.0732e+03	1.0000e+05	1.0008e-01	3.2498e-01	2.4940e-01	7.2623e-04	7.8193e-05	1.5307e-03	2.4867e-01	6.4214e-17	4.9960e-01	
4.2952e-07	1.0732e+03	1.0000e+05	1.0009e-01	3.2496e-01	2.4935e-01	7.7747e-04	8.3077e-05	1.6380e-03	2.4858e-01	6.3286e-17	4.9957e-01	
4.5892e-07	1.0732e+03	1.0000e+05	1.0009e-01	3.2494e-01	2.4931e-01	8.2827e-04	8.7975e-05	1.7445e-03	2.4848e-01	6.2428e-17	4.9954e-01	
